Валюта,Покупка,Продажа,Курс ЦБ 22.10.2023
Доллар,96.50,94.60,95.9053
Евро,101.00,101.50,101.4257
Юань,13.40,13.36,13.0688
Фунт,115.00,104.60,116.4578
Бел. рубль,29.00,30.23,29.3918
Франк,86.55,107.50,107.5895
Дирхам,26.03,26.64,26.1109
